date,turbidity,ctd
2023-02-14,1.2801399,CTD10
2023-02-23,1.2587681,CTD10
2023-03-01,0.0,CTD10
2023-03-08,0.42322615,CTD10
2023-03-16,1.0160134,CTD10
2023-03-22,0.61786884,CTD10
2023-03-29,2.341012,CTD10
2023-04-04,1.0648849,CTD10
2023-04-11,0.36213058,CTD10
2023-04-20,0.48877564,CTD10
2023-04-27,0.449196,CTD10
2023-05-04,0.43380675,CTD10
2023-05-11,1.454977,CTD10
2023-05-18,2.0461125,CTD10
2023-05-25,1.2620716,CTD10
2023-05-31,0.44399774,CTD10
2023-06-05,0.94298995,CTD10
2023-06-13,1.0899208,CTD10
2023-06-21,0.81408995,CTD10
2023-06-28,0.89658344,CTD10
2023-07-05,5.5374837,CTD10
2023-07-12,2.0061812,CTD10
2023-07-19,1.4359056,CTD10
2023-07-26,0.7118379,CTD10
2023-08-01,1.184253,CTD10
2023-08-10,0.41684976,CTD10
2023-08-17,1.0615166,CTD10
2023-08-24,0.7057162,CTD10
2023-08-30,0.66105103,CTD10
2023-09-07,1.4707015,CTD10
2023-09-13,3.9285226,CTD10
2023-09-21,1.6355207,CTD10
2023-09-27,1.4621375,CTD10
2023-10-05,1.0120146,CTD10
2023-10-11,2.8440285,CTD10
2023-10-17,1.5305581,CTD10
2023-10-25,2.8689847,CTD10
2023-10-31,2.482438,CTD10
2023-11-08,9.373759,CTD10
2023-11-16,0.847884,CTD10
2023-11-24,1.5171349,CTD10
2023-11-29,0.6137157,CTD10
2023-12-07,0.5255386,CTD10
2023-12-13,1.2455599,CTD10
2023-12-19,1.7010583,CTD10
2023-12-27,0.4822832,CTD10
2024-01-03,0.8861187,CTD10
2024-01-09,1.96407,CTD10
2024-01-16,0.4593898,CTD10
2024-01-23,1.6910521,CTD10
2024-02-01,4.13971,CTD10
2024-02-06,0.5848937,CTD10
2024-02-13,1.0168843,CTD10
2024-02-20,0.44324458,CTD10
2024-03-07,2.1174161,CTD10
2024-03-13,0.6982955,CTD10
2024-03-20,1.0510153,CTD10
2024-03-26,1.0764685,CTD10
2024-04-02,1.5531989,CTD10
2024-04-10,0.33619982,CTD10
2024-04-24,1.3482512,CTD10
2024-04-29,1.0604295,CTD10
2024-05-10,0.51373214,CTD10
2024-05-15,2.3120995,CTD10
2024-05-22,0.5639329,CTD10
2024-05-29,1.4064147,CTD10
2024-06-05,1.0881819,CTD10
2024-06-10,0.8504661,CTD10
2024-06-18,1.172826,CTD10
2024-06-25,0.97829175,CTD10
2024-07-03,0.8717347,CTD10
2024-07-09,1.2588733,CTD10
2024-07-18,1.1824906,CTD10
2017-03-22,2.643125,CTD11
2017-03-30,6.5100746,CTD11
2017-04-05,1.2314106,CTD11
2017-04-12,1.2694248,CTD11
2017-04-25,1.5070285,CTD11
2017-05-04,1.1275048,CTD11
2017-05-19,0.0,CTD11
2017-05-24,0.0,CTD11
2017-06-02,1.5780365,CTD11
2017-06-06,3.219469,CTD11
2017-06-13,0.5641041,CTD11
2017-06-21,1.6394436,CTD11
2017-06-30,0.3684522,CTD11
2017-07-05,1.4219913,CTD11
2017-07-12,7.1829243,CTD11
2017-07-19,1.6552308,CTD11
2017-07-26,0.61555135,CTD11
2017-08-30,7.520715,CTD11
2017-09-06,6.203902,CTD11
2017-09-11,4.5263157,CTD11
2017-09-27,0.48942262,CTD11
2017-10-04,6.207599,CTD11
2017-10-11,2.792522,CTD11
2017-10-17,10.9277315,CTD11
2017-10-25,10.563103,CTD11
2017-11-03,8.848209,CTD11
2017-11-08,1.7870061,CTD11
2017-11-15,7.6008234,CTD11
2017-11-22,3.8890412,CTD11
2017-11-28,2.9014966,CTD11
2017-12-05,15.566256,CTD11
2017-12-13,9.657763,CTD11
2017-12-18,18.226744,CTD11
2017-12-26,11.488046,CTD11
2018-01-02,0.0,CTD11
2018-01-09,0.6261222,CTD11
2018-01-17,0.7372591,CTD11
2018-01-24,22.535452,CTD11
2018-01-31,1.0235441,CTD11
2018-02-12,4.195136,CTD11
2018-02-20,0.0,CTD11
2018-02-27,0.95226455,CTD11
2018-03-07,0.11436907,CTD11
2018-03-13,2.3388937,CTD11
2018-03-26,0.62788916,CTD11
2018-04-05,1.0930257,CTD11
2018-04-17,0.0,CTD11
2018-04-27,5.785621,CTD11
2018-05-02,64.97073,CTD11
2018-05-11,1.6313914,CTD11
2018-05-16,2.5334454,CTD11
2018-05-22,1.3447645,CTD11
2018-05-30,0.0,CTD11
2018-06-08,1.5552752,CTD11
2018-06-12,2.775059,CTD11
2018-06-20,0.0,CTD11
2018-06-26,1.7424371,CTD11
2018-07-04,4.1880136,CTD11
2018-07-10,0.65714926,CTD11
2018-07-19,0.028467402,CTD11
2018-07-24,0.86423963,CTD11
2018-08-03,7.7051444,CTD11
2018-08-09,10.264993,CTD11
2018-08-14,1.4050045,CTD11
2018-08-23,0.46423134,CTD11
2018-08-29,0.63973725,CTD11
2018-09-04,9.013181,CTD11
2018-09-13,0.0,CTD11
2018-09-20,0.0,CTD11
2018-10-03,0.0,CTD11
2018-10-10,0.0,CTD11
2018-10-17,0.4955624,CTD11
2018-10-31,3.4278073,CTD11
2018-11-07,24.021482,CTD11
2018-11-21,2.3137765,CTD11
2018-11-28,0.0,CTD11
2018-12-04,2.428299,CTD11
2018-12-11,1.6339198,CTD11
2018-12-19,0.0,CTD11
2018-12-26,2.0072658,CTD11
2019-01-03,12.287601,CTD11
2019-01-09,0.0,CTD11
2019-01-17,0.22104141,CTD11
2019-01-25,20.131075,CTD11
2019-02-06,0.039118018,CTD11
2019-02-12,17.25711,CTD11
2019-02-20,0.08376727,CTD11
2019-02-26,0.0,CTD11
2019-03-05,0.11619052,CTD11
2019-03-12,1.4084226,CTD11
2019-03-28,0.0,CTD11
2019-04-15,10.114606,CTD11
2019-04-24,6.7777925,CTD11
2019-04-30,0.0,CTD11
2019-05-08,3.1518567,CTD11
2019-05-15,0.0,CTD11
2019-05-21,0.0,CTD11
2019-05-29,6.145603,CTD11
2019-06-04,0.0,CTD11
2019-06-18,0.20966204,CTD11
